Kanton;Gemeinde;FlÑche;LÑngengrad;Breitengrad
ZH;Wettswil am Albis;379;677954;243436
ZH;Wetzikon (ZH);1678;703262;242400
ZH;Wiesendangen;961;702343;264936
ZH;Wil (ZH);894;680710;273491
ZH;Wila;916;707317;251922
ZH;Wildberg;1087;704686;252828
ZH;Winkel;814;684395;260076
ZH;Winterthur;6787;697607;261467
ZH;Zell (ZH);1268;703340;256516
ZH;Zollikon;788;687364;244243
ZH;Zumikon;544;689752;243268
ZH;ZÅrich;8781;682466;248575
ZH;ZÅrichsee (ZH);5979;692106;235445
BE;Aarberg;792;588169;210580
BE;Aarwangen;987;624597;231649
BE;Adelboden;8819;608949;146937
BE;Aefligen;203;608416;216186
BE;Aegerten;217;588341;218474
BE;Aeschi bei Spiez;3099;623750;163621
BE;Aeschlen;489;616278;186866
BE;Affoltern im Emmental;1150;622455;213107
BE;Albligen;429;591171;188616
BE;Alchenstorf;656;615556;219303
BE;Allmendingen;380;606278;196190
BE;Amsoldingen;471;611252;174914
BE;Arch;637;599662;223848
BE;Arni (BE);1044;616682;198276
BE;Attiswil;764;613028;233609
BE;Auswil;463;630081;220696
BE;Ballmoos;145;602794;209977
BE;Bangerten;219;600639;211702
BE;Bannwil;479;622101;231999
BE;Bargen (BE);787;585258;209477
BE;BÑriswil;273;607100;207321
BE;BÑtterkinden;1017;606922;220662
BE;Beatenberg;2923;627968;173798
BE;Bellmund;380;585170;216896
BE;Belp;1759;605191;193513
BE;Belpberg;570;606254;190623
BE;Belprahon;383;597390;237738
BE;Berken;139;620223;230553
BE;Bern;5162;597548;199615
BE;Bettenhausen;198;620785;224855
BE;BÇvilard;568;588402;231166
BE;Biel (BE);2123;586536;222046
BE;Bielersee (BE);3889;578664;213961
BE;Biglen;359;614323;197434
BE;Bleienbach;569;624118;225734
BE;Bleiken bei Oberdiessbach;342;615329;185067
BE;Blumenstein;1552;604344;175217
BE;Bolligen;1656;605706;203568
BE;Bollodingen;197;620172;223911
BE;Boltigen;7702;593775;161488
BE;Bînigen;1512;637154;169971
BE;Bowil;1469;620014;193150
BE;Bremgarten bei Bern;191;599758;203004
BE;Brenzikofen;220;613569;184870
BE;Brienz (BE);4799;645855;175764
BE;Brienzersee;2972;640693;175055
BE;Brienzwiler;1766;650144;175659
BE;BrÅgg;499;587828;219703
BE;BrÅttelen;662;578157;208160
BE;Buchholterberg;1532;619198;185411
BE;BÅetigen;361;592363;217228
BE;BÅhl;296;585411;212901
BE;BÅren an der Aare;1262;594841;221203
BE;BÅren zum Hof;342;605537;216248
BE;Burgdorf;1562;613710;211419
BE;Burgistein;753;604933;182325
BE;Busswil bei BÅren;305;591083;216509
BE;Busswil bei Melchnau;287;629617;226376
BE;Champoz;717;590109;234448
BE;ChÉtelat;415;580826;235465
BE;Clavaleyres;101;573570;194122
BE;Corcelles (BE);677;602583;237796
BE;CorgÇmont;1761;577260;226724
BE;Cormoret;1349;570302;223826
BE;CortÇbert;1478;575172;225028
BE;Court;2462;593989;232096
BE;Courtelary;2217;572256;225120
BE;CrÇmines;948;601010;237160
BE;DÑrligen;691;628646;166973
BE;DÑrstetten;3279;603800;168979
BE;Deisswil bei MÅnchenbuchsee;216;601117;209570
BE;Diemerswil;286;598621;207674
BE;Diemtigen;12997;607033;159897
BE;Diessbach bei BÅren;630;594331;217043
BE;Diesse;946;575678;218850
BE;Dotzigen;422;593169;219443
BE;DÅrrenroth;1411;625846;214457
BE;Eggiwil;6032;628253;190538
BE;Englisberg;435;601778;193640
BE;Epsach;344;583407;213287
BE;Eriswil;1133;631829;213506
BE;Eriz;2177;628486;181922
BE;Erlach;351;573645;209527
BE;Erlenbach im Simmental;3672;607721;167717
BE;Ersigen;872;612569;216299
BE;Eschert;658;597647;234955
BE;Etzelkofen;280;603188;214727
BE;Evilard;367;583493;221649
BE;Fahrni;667;616479;183102
BE;Farnern;370;612996;235528
BE;Ferenbalm;918;583684;199134
BE;Finsterhennen;357;580303;207720
BE;Forst;184;606502;179340
BE;Fraubrunnen;769;606989;215325
BE;Frauenkappelen;927;591980;200479
BE;Freimettigen;295;614778;190269
BE;Frutigen;7175;613662;156370
BE;Gadmen;11629;671649;173764
BE;Gals;786;571212;209371
BE;Gampelen;1078;570880;206149
BE;Gelterfingen;349;605884;188074
BE;Gerzensee;779;607889;188375
BE;Golaten;280;585200;204067
BE;Gondiswil;939;632591;221474
BE;Graben;316;621353;229741
BE;Grafenried;471;605233;213877
BE;Grandval;823;599197;236964
BE;Grindelwald;17108;646965;163256
BE;Grossaffoltern;1503;593760;213107
BE;Grosshîchstetten;346;614774;194953
BE;Gsteig;6246;585692;137042
BE;Gsteigwiler;702;634469;166875
BE;Guggisberg;5490;592801;176349
BE;GÅndlischwand;1689;637889;166862
BE;GurbrÅ;184;582976;201643
BE;Gurzelen;454;607422;180479
BE;Gutenburg;61;627375;225824
BE;Guttannen;20079;662766;160905
BE;Habkern;5106;634488;178310
BE;Hagneck;185;580891;211359
BE;Hasle bei Burgdorf;2189;615554;205268
BE;Hasliberg;4174;660355;177557
BE;HÑutligen;307;612668;189689
BE;Heiligenschwendi;555;618620;177898
BE;Heimberg;541;612588;182457
BE;Heimenhausen;319;619567;229230
BE;Heimiswil;2335;617639;212464
BE;Hellsau;148;615907;221435
BE;Herbligen;276;613143;186237
BE;Hermiswil;104;619806;222787
BE;Hermrigen;342;584978;214510
BE;Herzogenbuchsee;686;620852;227113
BE;Hilterfingen;282;616779;176914
BE;Hindelbank;672;607950;210081
BE;Hîchstetten;264;614775;221443
BE;Hîfen;461;609789;174606
BE;Hofstetten bei Brienz;876;648990;179714
BE;Homberg;650;618679;180612
BE;Horrenbach-Buchen;2044;626263;180466
BE;Huttwil;1725;630952;217502
BE;Iffwil;506;602916;212671
BE;Inkwil;336;617266;228085
BE;Innertkirchen;12005;661096;169249
BE;Ins;2391;574283;205286
BE;Interlaken;430;632600;170741
BE;Ipsach;191;584304;218251
BE;Iseltwald;2185;642253;172215
BE;Ittigen;421;602729;203290
BE;Jaberg;132;609709;185370
BE;Jegenstorf;747;604931;211238
BE;Jens;456;587128;216353
BE;Kallnach;1065;582987;207201
BE;Kandergrund;3206;618273;153904
BE;Kandersteg;13456;620716;146470
BE;Kappelen;1096;587722;213557
BE;Kaufdorf;206;604409;187603
BE;Kehrsatz;444;602508;195669
BE;Kernenried;333;608443;212799
BE;KienersrÅti;74;609298;183135
BE;Kiesen;468;610785;184619
BE;Kirchberg (BE);902;612640;214655
BE;Kirchdorf (BE);613;608158;185103
BE;Kirchenthurnen;125;605112;185921
BE;Kirchlindach;1196;598261;205270
BE;Kleindietwil;269;626796;221230
BE;Kîniz;5099;596890;194804
BE;Konolfingen;1279;612918;192843
BE;Koppigen;693;612451;220568
BE;Krattigen;603;623079;166580
BE;Krauchthal;1943;609409;206517
BE;Kriechenwil;475;583032;195588
BE;La Ferriäre;1417;559162;221522
BE;La Heutte;808;583280;226558
BE;La Neuveville;682;574406;213867
BE;Lac de NeuchÉtel (BE);194;569549;204739
BE;Lamboing;910;578528;219614
BE;Landiswil;1026;618323;200503
BE;LÑngenbÅhl;266;607627;178538
BE;Langenthal;1442;626960;229495
BE;Langnau im Emmental;4840;628243;200606
BE;Lauenen;5872;592293;138554
BE;Laupen;412;585056;195473
BE;Lauperswil;2121;623543;201148
BE;Lauterbrunnen;16456;634898;155693
BE;Leimiswil;464;624869;222045
BE;Leissigen;1036;626095;165699
BE;Lengnau (BE);737;594482;225674
BE;Lenk;12305;601271;141640
BE;Leuzigen;1031;602126;224431
BE;Ligerz;180;577344;215735
BE;Limpach;445;604561;217689
BE;Linden;1323;618928;188619
BE;Lohnstorf;180;605680;183944
BE;Lotzwil;619;626786;226647
BE;Loveresse;472;585046;232234
BE;LÅscherz;545;579047;210278
BE;LÅtschental;1235;639406;166096
BE;LÅtzelflÅh;2691;619734;205974
BE;Lyss;1179;590730;213956
BE;Lyssach;606;610637;212862
BE;Madiswil;1526;628236;223511
BE;Malleray;1026;586960;231923
BE;Matten bei Interlaken;592;633318;169233
BE;Mattstetten;381;606224;208025
BE;Meienried;65;592639;220708
BE;Meikirch;1023;594509;206240
BE;Meinisberg;442;593478;223388
BE;Meiringen;4060;653198;174476
BE;Melchnau;1030;631652;225215
BE;Merzligen;228;585958;215160
BE;Mirchel;235;616128;193408
BE;Monible;339;581900;236558
BE;Mont-Tramelan;464;571676;228852
BE;Moosseedorf;634;603554;206600
BE;Mîrigen;216;582781;214830
BE;Mîtschwil;294;609935;210540
BE;Moutier;1960;594173;236281
BE;MÅhleberg;2625;587305;199516
BE;MÅhledorf (BE);228;607024;186317
